기간	대분류	분류	운동을 할 충분한 시간이 없어서	함께 운동을 할 사람이 없어서	운동을 할 만한 장소가 없어서	운동을 싫어해서	운동을 할 충분한 비용이 없어서	기타
2019	서울시	서울시	46.8	5	4.3	37.3	5.2	1.4
2019	성별	남자	52.4	4.4	4.9	32.4	4.9	1.1
2019	성별	여자	42.5	5.6	3.9	41	5.4	1.7
2019	연령별	10대	55.3	4.8	3.9	32.6	3.5	-
2019	연령별	20대	46	4.2	4.5	38.8	6.4	0.1
2019	연령별	30대	59.9	5.2	2.9	27.3	4.5	0.2
2019	연령별	40대	54.1	3.9	2.9	35.5	3.3	0.4
2019	연령별	50대	46.1	6.2	4.5	36.8	5.6	0.8
2019	연령별	60대 이상	26.6	6	6.6	48.7	6.6	5.6
2019	학력별	중졸 이하	24.7	6.2	4.8	48.6	7.3	8.5
2019	학력별	고졸 이하	44.3	5.3	5.6	38.6	5.5	0.7
2019	학력별	대졸 이하	53.1	4.7	3.3	34	4.6	0.3
2019	학력별	대학원 이상	61.2	3	5.6	29	0.9	0.3
2019	소득별	100만원 미만	10.7	8.4	9.9	50.7	9.4	10.9
2019	소득별	100-200만원 미만	29.6	5.6	6	49.1	7.4	2.3
2019	소득별	200-300만원 미만	42.8	7.3	3.9	39.5	5.1	1.4
2019	소득별	300-400만원 미만	50.6	4.3	4.2	35.5	4.8	0.7
2019	소득별	400-500만원 미만	48	4.6	3.3	38.7	5.3	0.2
2019	소득별	500만원 이상	52.8	4.3	4	33.4	4.5	1
2019	혼인상태별	기혼	48.7	4.5	4.1	37.3	4.6	0.7
2019	혼인상태별	미혼	50.2	4.9	4	35.1	5.6	0.2
2019	혼인상태별	이혼/사별/기타	31.5	7.2	5.7	42.4	6.4	6.9
2019	지역대분류	도심권	53.8	3.8	7.2	28.3	4	2.9
2019	지역대분류	동북권	44.5	3.5	4.1	40.6	5.5	1.8
2019	지역대분류	서북권	50.7	6.6	5.1	31.4	5.3	0.9
2019	지역대분류	서남권	47.1	6.7	4.7	35.9	4.8	0.8
2019	지역대분류	동남권	46.3	4.7	3.1	38.9	5.4	1.5
2019	종로구	종로구	62.2	0.4	9.4	25.9	2.1	-
2019	중구	중구	50.3	3	7.7	25.7	7.6	5.7
2019	용산구	용산구	48.9	7.5	4.9	32.6	2.7	3.4
2019	성동구	성동구	46.5	4.3	5.7	34.2	8.7	0.6
2019	광진구	광진구	42	5.7	3	43.5	5.8	-
2019	동대문구	동대문구	44.5	4.5	2.7	41.9	6.2	0.1
2019	중랑구	중랑구	46.7	2.2	6.8	32.8	10.9	0.5
2019	성북구	성북구	33.3	3.4	2.6	58	2	0.7
2019	강북구	강북구	21.3	5.3	3.4	68.1	1.9	-
2019	도봉구	도봉구	52	3.2	6.2	30.8	7.6	0.3
2019	노원구	노원구	56.3	1.6	2.7	30.1	1.9	7.4
2019	은평구	은평구	42.7	8.8	7.3	34.3	6.4	0.5
2019	서대문구	서대문구	69.8	0.8	1.2	21.9	5.3	1
2019	마포구	마포구	46.6	8.1	4.7	35.8	3.2	1.5
2019	양천구	양천구	66.2	5.7	5.9	17.9	4.1	0.1
2019	강서구	강서구	38.5	3.8	1.9	50.5	4.3	1
2019	구로구	구로구	45.3	5.7	5.8	39	2.9	1.3
2019	금천구	금천구	53.6	2.4	2.3	37.6	2.3	1.7
2019	영등포구	영등포구	50.2	6.7	3.8	33.9	5.4	-
2019	동작구	동작구	39.1	13.9	8.4	31.1	7.6	-
2019	관악구	관악구	44.4	8.8	5.5	34.2	6.1	1
2019	서초구	서초구	49.9	4.3	4.1	36.6	3.3	1.8
2019	강남구	강남구	40.7	4.2	2	46.4	5.2	1.6
2019	송파구	송파구	47.6	5	2.3	39.4	4.8	1
2019	강동구	강동구	47	5.2	4.8	32.4	8.4	2.3
